sr. no,sentence,aspect,sentiment score,label
189,"Apps are super convenient in so many ways. Specifically because all the information you need is right there on your phone. It makes it very easy to access whatever you need at anytime of the day. However, privacy is always a concern. It can be hard to trust ""third party apps"" because they can be sketchy sometimes. Medical records are extremely sensitive and need the most protection possible.",privacy,0.9134,positive
191,The benefit is the convenience of having quick access to your records. The costs would be risk of loss of privacy.,cost,-0.1027,negative
192,Having a patient portal only has benefits they are extremely safe and allow you to access info easily. As for Apple Health Records and CommonHealth they provide a benefit in combining and making information even more accessible than a patient portal but the information they collect is less safe and third party apps have not been known to keep information safe and the small benefit that you would get for connecting them to clinical data from Common health would not be worth it.,benefits,0.9695,positive
194,I can see these apps being helpful for managing an existing condition or improving lifestyle choices. I’m just not sure how comfortable I am about my personal information being widely available—I’d need to know more about security before wanting to do it. I’m fine with my health information shared generically for societal benefits.,benefits,0.8561,positive
195,"Patient Portal
Cost: Possible increased medical costs for service
Benefit: Ease of use, breaking down the barriers to care, real time view of current state of heath

Apple Heath Record
Cost: Potential added monthly cost for service that might be out of health insurance coverage
Benefit: Integration of health data from smart watch could give deeper insight into patients health and spot issues in advance

Third Party Apps
Cost: Data security issues, data privacy issues
Benefit: unknown",cost,0.9705,positive
197,I am hugely concerned about hacking into the account and information being shared or sold for marketing issues.  I would love an app with prescription and appointment reminders.  I do love having all my medical records readily accessible to me.,access,0.8957,positive
198,"I see it primarily as a great convenience for me in not only consolidated access of my health records, but prescription management as well.",access,0.6369,positive
199,"I do not see many additional benefits beyond what I get through my patient portal.  The site is relatively small, so I feel it is more secure.  I do not need anything offered by the other technologies, unless my doctor wants it, and all I would get in return is more of a threat of compromised records.",benefits,0.1567,positive
200,"Patient portal is direct information from my provider, Apple would intergrate with all my other products within their ecosystem and third party apps may have unique benefits I'm unaware of",benefits,0.5423,positive
201,A patient portal can be very beneficial because of it showing all relevant medical information. It can also be easy to use and quick to access. The same goes for CommonHealth or Applehealth. Third party apps do not need access to my medical records.,access,0.8313,positive
203,"The cost for any of these options is the risk of a security breach and having your personal data be public knowledge. There is no software or portal that is 100% secure. By using only my patient portal I feel like I have more control over my data and have lessened the security risk. Using Apple Health Records, CommonHealth, or other third party apps leaves all of my data vulnerable. Even if those apps are secure enough to deter hackers who's to say that every employee, with access to health data, is a completely competent and honest person. Are these companies doing background checks on all employees? Are these employees with access being paid well enough to stay focused and follow proper protocols? For example, if a lot of their employees are making minimum wage and have not had their background checked there is little incentive for them to do everything it takes to keep your data safe.",cost,0.9675,positive
204,"For the patient portal, I see many benefits since my healthcare provider can see my information and treat me best with the information. With Apple Records and third party apps, I am a little less comfortable with my information being shared since I don't know how secure they are. I would rather do more research on the sites before using them.",benefits,0.9359,positive
205,"Benefits would be an easier way for me to decide who gets what information.  Also, it would make going to a new doctor easier as you could give them allergy, surgery, medicine, etc. information through this rather than filling out a lot of paperwork at each office/hospital/clinic, etc.  The costs would be privacy.  I think with more electronic means there is an exponentially high risk of people accessing things they shouldn't be able to access without permission.",cost,0.7269,positive
206,"Costs to privacy , leaks of information.
Benefits would be an app to manage healthcare.",privacy,0.3818,positive
207,im able to easily access my records,access,0.34,positive
208,I don't feel apps are as private as a patient portal directly from a medical office or hospital. There are too many things to go through and between with apps. I also don't like the idea that apps have access to other information on my phone and can then put together more of a profile.,access,-0.2755,negative
209,It allows easy access where it may have once taken days or hours to receive info that was necessary to provide a treatment plan.,access,0.4404,positive
211,I think It’s beneficial to have easy access to your information but a risk because it could get in the wrong hands ,risk,-0.5994,negative
213,Convenience is a major benefit. Sharing of data would advance research for societal benefits.  Major risk is the loss of privacy and breach of personal information.  All this depends on how information is used. Whether identifying information is scrubbed etc.  ,benefits,0.6124,positive
215,I understand that the information is helpful for research purposes but want to protect my privacy about what is connected to my name and available for others to see.,privacy,0.6956,positive
216,I think that risks of data breeches outweight the benefti of convenience.,risk,-0.2732,negative
218,"The benefits are that they provide for an at home way to keep track of your medical history which may be more accessible than having to call a doctor's office for the information. However, the potential for security leaks with the information seems to be a risk not worth the trade off.",benefits,0.3036,positive
219,As long as they don't cost and are very secure I can see all would be good to a point.  Just have to be very secure.,cost,0.8067,positive
220,"Patient portal gives good access but, in my experience, isn't entirely user friendly. Apple Health Records sounds like it would be user-friendly, but they are more likely to get hacked. Third-party apps are fine but maybe not that secure.",access,-0.5354,negative
221,Recordkeeping and accessibility would be a lot easier than looking thru paper copies and/or multiple portals.,access,0.4215,positive
223,There is always a risk of privacy data being breached.,risk,-0.2732,negative
224,Easy to access your records and lab results rather than doctors wanting you to call them to explain the records thereby holding up the information. ,access,0.4404,positive
225,"really, there is no cost to using these technologies. the main benefit would probably be the convenience of always having your information accessible right from your pocket.",cost,0.1372,positive
226,Data storage and privacy is a concern to me,privacy,0.0,negative
227,I think that giving up privacy is a major cost Im not willing to pay at this point. I have had multiple providers be hacked and my PII stolen /accessed. ,cost,-0.4946,negative
228,You possibly sacrifice privacy for the benefit of possibly having a better outcome in your medical treatments.,privacy,0.7096,positive
230,Benefits are that the infomration is easily accessible. ,access,0.6124,positive
233,The costs are the fact that it is unknown where the data can end up. The benefits are the fact that healthcare can be improve for at least some people.,cost,0.6705,positive
234,"Cost for patient portal is fair and beneficial 
Apple health cost not fair but beneficial 
",cost,0.7964,positive
235,Easy access to your personal data. But I am always concerned about the security.,access,0.6187,positive
237,"I enjoy the ease of access to patient health information through the patient portal and Apple Health Records, but third-party apps often sell and use information for marketing purposes. ",third-party app,0.431,positive
238,The patient portal is great and does not add up space wise as to what was previously handed out per visit.  It is more than easy to access and in date verses trying to find it in a paper stack at my residence. Through Apple or CommHealth I would question if it may somehow end up in the wrong person's hands and they could then doing something with that information.  I would also for sure question about that with Third-Party apps.,access,0.8617,positive
239,"I think a secure patient portal is an excellent idea.  It allows patients to contact their providers directly with questions, and to track their own personal health data.  What the patient then chooses to do with it, is their decision.  I also believe pharmacy apps (like Walgreens/CVS) which track prescriptions are a good resource for consumers.  Like with most things, people have different tolerances for privacy so I believe other options could raise certain questions. ",privacy,0.9169,positive
240,"Benefits are it can help you manage your health better and be more proactive, costs are what if it were to be hacked etc. ",cost,0.8221,positive
241,These types of apps can benefit many that use these services but they have too many privacy issues for  me to be willing to feel completely comfortable using them,privacy,0.7839,positive
243,"The cost is privacy, the benefit may be research advancements",cost,0.4588,positive
244,"I can see having all of my medical records in one convenient, easy to access place as a benefit. But I can also see it as a danger because of privacy. I can see being denied access to insurance or benefits because of something that is in my records. I don't trust companies not to share my information, no matter how many times they tell me they won't. ",benefits,-0.8918,negative
245,I prefer NOT using third-party apps because they are just another way to get information via hacking that I prefer not to share.,third-party app,-0.2235,negative
246,A benefit would be that you have direct access on your phone. A cost would be that I'm unfamiliar with the different types of technologies.,cost,0.4588,positive
248,"I see the benefits of the patient portal as a way to keep up with the information that is in my medical records, to make appointments, review lab results, order prescriptions.  

The Apple Health Records or CommonHealth could be beneficial to download medical information to my smartphone.  I have some concerns with the Third-party apps security and privacy.  ",benefits,0.7845,positive
249,The information that you provide can be sold or used by the organizations.  The benefits are that you can utilize many other people's data to get information for yourself,benefits,0.3818,positive
250,"The cost is a further erosion of private data over which the user ultimately has no control. With the number of major security breaches there are today, it is hard to trust anything online, much less private health information. Plus it could be shared/sold whether or not the user has given permission. The benefits include easy access to one's medical records and a more direct way to communicate with one's provider. I would like to participate in research of benefit to society, but I don't trust online security enough to feel safe doing so.",cost,0.959,positive
251,"I think there are only benefits to having these types of apps and the use of technologies. It's helpful for everyone to be able to access their information when/if needed, and for those of us who already use phones, computers, etc. so often if not all day long, it only makes sense to have these features as well. ",benefits,0.7579,positive
253,"I think the apps can be very convenient if you have multiple patient portals and health records to extract from, and this saves time and can make your life easier when accessing/saving records. I see the cost as being sharing personal info that you might be uncomfortable with, and not being sure on how your data is being used.",cost,0.2589,positive
254,I feel there is a lot of inherent trust in a patient portal.  I also don't mind providing information to public health offices so they can do stuff with it.  I don't like the idea of apple health records or other third party apps having access to this info,trust,0.598,positive
257,"I think these technologies allow easy access to health information without needing to constantly reaching out to the provider/their office. This allows patients to be empowered with their own knowledge of their health and conditions. However, I do worry about my private data becoming more easily available to people other than myself and my provider. ",access,0.659,positive
258,"A benefit of using these technologies would be for more streamlined usage and access of information. A huge cost/risk is the likelihood such information will be accessed by anyone who is able to crack the system, or even just has a password.",cost,0.6486,positive
259,The benefits are many- but mostly I think having all of my health information in one place that is easily accessible (without having to log into 3-4 separate websites or apps) is the largest benefit. The cost may be some patient privacy as many companies make their money by selling anonymized data. ,cost,0.836,positive
260," I feel like privacy is the cost of using all of these technologies. Since patient portals are hipaa compliant, i don't have an issue with those having my information. ",cost,0.3612,positive
262,"Costs is sacrifice of privacy,  benefits are ease of use, easy to get data, and help using the data",benefits,0.8658,positive
263,I don’t know about costs but they will probably be more than the free app from my healthcare provider. I don’t really see any added benefits.,cost,0.8499,positive
264,"The only cost I can see is to my privacy as I cannot be 100% certain that my information is secure from hacking or 3rd party sharing of information. The benefits to me though are that I have immediate access to my health records without having to request copies from doctors' offices. And, insofar as they are within the same health system the portal covers, I have an excellent messaging system with which to communicate with my providers.",cost,0.9079,positive
265,"One of the benefits is sharing of information between different doctors.  Also, you wouldn't have to go to your doctor's office to get a copy of your record. Also, should you move, all of your records are online.
There are less administrative costs for the doctors' office, which should mean less costs for the patient.
Many of the processes are streamlined and done on-line
It is a good resource for the patient to look up things

",cost,0.8074,positive
267,Ease of access of applications,access,0.3612,positive
268,"I think it could benefit through research and awareness, however in the wrong hands personal information could be leaked or used against someone.",wrong hands,-0.34,negative
269,It could make it easier for people to keep track of their records and other medical information they need. The downside would be the number of people who could access their personal info.,access,0.2732,positive
270,A benefit would be less work for me. Being able to easily transfer information on my health and it being organized. A cost may be privacy. Many platforms having access to my health records is a bit concerning. ,cost,0.6597,positive
271,They make access to healthcare more accessible for people and they act as a backup for medical offices. ,access,0.0,negative
273,"patient portals have so many benefits for me as a patient, apple health records can help keep information organized but I don't like my personal health info leaving the hands of the actual health care provider. third party apps are just a ploy to sell my information and have no benefits that the patient portal can't give.",benefits,0.8748,positive
274,"I do not trust more then my doctors office having this information. So i see no benefits. They will just sell my data, even if they say they wont. No thank you.",benefits,-0.3692,negative
275,third party apps are probably more intuitive and easier to use but they might be less secure. i trust a patient portal more than i trust a third party app,trust,0.9528,positive
279,I’m paying with my data. I’m also paying with a lapse in my privacy. The cost is incredibly high to me.,cost,0.0,negative
280,"I think the benefits outweigh any costs in using a patient portal. The benefits are ease of access to my health records and medical test results, the ability to message my doctors and the ability to schedule an appointment online.  I am unsure about Apple Health Records or CommonHealth or Third-party apps as I have never used them.  Security of my personal and health information would be the biggest cost for all of these technologies.",cost,0.8055,positive
281,You're able to access your records quickly but are at risk of being hacked.,risk,-0.7351,negative
283,"As long as I do not occur any costs, they can do whatever they want. As long as I retain privacy and security control over my records.",cost,0.4019,positive
284,The benefits COULD BE obvious. Sharing of data would be an awesome research tool. The costs COULD BE a disaster. Suddenly we've gone from sharing data with CommonHealth to sharing data with Apple Health to sharing data with third party apps for personal health management to sharing data for societal benefit. Then comes sharing of data that each of these entities decides is in everyone's best interest with other unknown entities. The probabilities for misuse of this data given all of the places that it has been allowed to spread is astronomical. Cyber security experts would tell you that you were out of your mind.,cost,0.9858,positive
285,I think it would be more easily accessible anywhere in an event of an emer,access,0.4005,positive
286,"I only see the patient portal as the one option that makes sense for me.  I think the other options come with risk and I somewhat dislike the idea of putting certain info into those apps (such as prescription info).  It makes sense for the patient portal to hold a lot of my info and there is a great benefit to it.  The other options don't really seem to benefit me all that much or at all.  And, I feel they have a high level of privacy risk.  ",risk,0.7713,positive
287,"The benefits is the aggregation of data for the patient and health care provider to simply the entire experience for the patient and provider.  Patients are more likely to be proactive in their health and share information/contact their doctors.  

The downside to 3rd party apps is the eroding of even more privacy and an enlarging digital footprint.  The chance for data breaches, monetization, even discrimination (in the form of targeted ads, increased insurance premiums, etc).",benefits,0.9274,positive
288,Patient portals make sense and seem to have a lot of benefits. But apple health and common health seem to have more costs. I do not want my medical data being shared over a third party app. ,cost,0.7974,positive
289,I'm most concerned about security and privacy. If my personal medical data is identifiable and there's not strict controls on its use then that may be a problem for me. If it is anonymous then it is fine. The patient portal seems most secure and private. Apple may also be or CommonHealth. I would want my data to be anonymized if it is used by third party apps.,privacy,0.7548,positive
291,with third-party apps it is harder to be sure that your information is being used the way it is intended to.  All apps however make accessing your own health information much easier.,third-party app,0.6249,positive
292,"Good record keeping. Convenient  with CommonHealth.  As far as the social apps go, I really don't see, for me, how that would be helpful.",CommonHealth,0.6908,positive
293,"The cost is allowing access to private data, opening one up to privacy issues. The app maker has to be very trusted and willing to properly guard the data. The benefits include having your information be easily available in digital form, able to integrate with other apps and help you manage your health better.",cost,0.9184,positive
294,"There some very slight benefit for having ones infor in a single place.The cost of possible security breach with your data leaked , this a hard no.",cost,0.1725,positive
296,"I don’t know what the costs would be, but I’m sure we would pay one way or another.   It could be beneficial to have your health information in one place, at your fingertips.",cost,0.7351,positive
297,I believe a cost would be the possibility of a security risk. A benefit would be possible easier access to my records though. ,cost,0.7269,positive
298,"The benefits include consolidation of information and 24/7 access to records. Some features may remain clunky, and some health systems are slower adopters of tech. The biggest cost is probably privacy and data concerns.",cost,0.3818,positive
299,The advantages are that. Digital data can be very quickly analyzed. The disadvantages are that I don't like the invasion of privacy. And I don't like the idea that somebody can be selling my data to someone else.,privacy,-0.5299,negative
300,some are not safe and i think your information is at risk to be leaked or exposed to other companies or really people I do not want having this information,risk,-0.7452,negative
302,"The benefits would be easier to access data that can make things more convenient, but the cost would be the publicization of private data.",cost,0.4019,positive
303,The cost of these apps is privacy worries and the benefits are a better understanding of your own personal health.,cost,0.4019,positive
304,The benefits would be efficiency and access to the information. On the other hand the negatives would be privacy.,benefits,0.8074,positive
307,"I think the patient portal is a easy convenient way for people to access their medical records and interact with their healthcare provider. I feel like that’s safer because usually those are on protected sites. Third part apps anyone can get into and I feel it puts the person more at risk. It may be convenient but it comes with risks.

I feel like 3rd party apps will be less expensive overall, when compared to patient portals. ",risk,0.8406,positive
308,"The benefits are fairly straightforward:  Ease of access to your records, especially if you may be away from home.  Increased communication between you and your healthcare provider.  Reminders for appointments or cancellations.  Costs are potentially data security breaches.  ",benefits,0.8225,positive
309,"The biggest issue to me is that the more places that have your data, the likelihood of someone using it gets higher. If someone has several doctors, a third-party app might be beneficial, just to have all of your information in one place. ",third-party app,0.4404,positive
310,"I see the patient portal to be the most secure and personal between you and your doctor/provider and ease of us. I see apple and common health to be practical and convenient, particularly from use on your phone, but see little point if you are already using a patient portal. I see Third party apps as probably more invasive and less trustworthy with your information, more likely just for use to sell you ads.",trust,0.8911,positive
311,"The benefits are that the information contained in the Apple Health Records can be used to devise new treatment plans or help people manage their symptoms and treatment in everyday life through other apps that track physical activity, etc. The costs are that the wider you share your data, the more at risk it is to any attacks on those individual apps. The cost is also that you might be subjected to personalized ads in those related third-party apps. ",cost,0.3008,positive
313,"I think that each has its own value, dependent on what they specifically offer and how important that is to each individual. I am all for technology, but my health information is too personal to just be accessible everywhere. I feel there should be limitations. ",access,0.2732,positive
314,"Just having access to your medical records or medical test results if needed by another doctor or medical facility. I think it is early in this technology and it will only get more polished and better working. I do not see a cost as of now, all beneficial things as far as I am thinking.",cost,0.7239,positive
315,"Being a homesteading hermit, I don't see much in the way of costs, though I can understand how others might feel about giving such information to ""big tech"", and how such organizations might use such data.
I think the benefits to having one's information readily on hand and available to any providers as necessary is readily obvious.",cost,0.802,positive
317,"I really don't see a specific cost because this is just sharing information.  So it's more like storage and organizational program.  However, I would be willing to pay a small fee under $10 monthly.  The benefits are endless.  The most are convenience and staying aware of your health care needs.  ",cost,0.8822,positive
318,"I think it depends on the third-party apps, which would be my biggest hesitation. Apps could use medical information poorly or they could use it as an benefit to my lifestyle. ",third-party app,0.2263,positive
321,"The costs are your personal information and privacy, the benefits are ease of access.",cost,0.6249,positive
323,The cost other than perhaps a subscription charge are cost to privacy.  I do not trust the apps or the entities they share information with.  The benefits may be in more complete care plans that are synched but I am not sold yet.,cost,0.4192,positive
324,"These technologies allow one to tabulate and better access medicals records, prescriptions and other essential data related to one's health. They facilitate the use and viewing of this information through cataloguing on their respective databases. Some may be apprehensive about posting sensitive information like this online, which is understandable.",access,0.8442,positive
326,"Benefits - having easy access to my own data, contributing to research, better understanding of my habits. Main cost would be privacy, I think",cost,0.8126,positive
327,I think the benefits they get are they can do research based on the information they get from the people that use their apps and maybe get money as well when people join their app.,benefits,0.7096,positive
328,"Third party apps represent a possibility of an invasion of privacy, though on the whole the information could be good for society.  The other two have a practical personal use.",privacy,0.6808,positive
329,"I would like to think I could trust my health care system's portal, but I don't know if that is true.  Apple and third party apps would probably sell the information, and I don't trust them.",trust,0.9493,positive
330,"The main cost to me is that of a loss of privacy. I do not know what privacy rights and uses are associated with Apple Health Records and who could see my data if it were intercepted or hacked somehow. I suppose the main benefit for some of these technologies is that the information could be used (aggregated, responsibly) to develop new treatments via public health research (assuming it had the appropriate IRB protections).",cost,-0.25,negative
331,I am not sure what the costs would be if we are talking in terms of monthly subscriptions for third-party apps.  The benefits would be that I would not have to worry about finding my paper copies of medical reports and I would not have to carry large x-rays and scans to doctor appointments.  The benefits would be that the person taking care of me would have the necessary records in one place.  That all my doctors would have access immediately without waiting for one doctor's office to send the records to another doctor's office.  The benefit would be if I had a medical emergency my records could be accessed immediately and could save my life. ,cost,0.9089,positive
332,Cost is giving up private data and the benefits are getting better health with more data. The more data you have usually the better the results.,benefits,0.8689,positive
334,"I think the patient portal is great. I have used my husband’s to give other providers information such as dates of visits, or prescriptions. I think the Apple Health Records would have the same benefits. Third-party apps still not sure about.
I would assume there would be no costs.",cost,0.5481,positive
335,"The healthcare organization's patient portal is the one I'm most comfortable with since it's direct connection with my healthcare provider. I'm also comfortable with a trusted app that has the same information like CommonHealth. They can be used to keep track of important information that I need to be aware of. I don't think third-party apps need most of that information, but they could be useful to keep track of things like weight loss or when I need to take medications. I wouldn't be comfortable telling them my specific medications, though. I don't know enough about third-party apps for societal benefit so I would be hesitant to comment on them.",trust,0.958,positive
336,"I think the benefit of patient portals is convenience for one, like having the ability to message my doctor with questions or prescription refills and being able to look at my health records, test results, etc. I think apps like Apple Health are great for keeping track of health issues, but I don't feel comfortable using apps on my phone that keep that kind of personal data on my device. Because portals are accessed through the internet and are constantly monitored for data breaches and other security, I feel they are safer to use.  ",access,0.8734,positive
337,I think management of health will be more convenient and thorough. I feel costs will be minimal. My patient portal is free and Apple subscriptions are the most reasonably priced in the business.,cost,0.5106,positive
339,I think I want as few different companies and apps accessing my health records as possible.  It feels like the Apple Health Records works like an aggregator and I don't have a need for it.,access,0.6486,positive
340,I would see it as a monthly cost of 10 dollars. ,cost,0.0,negative
342,"I see a lot of benefit in being able to allow anyone to easily have access to their medical information and be able to directly view their lab results when they first become available. I think it is a good thing that patient's healthcare is always available to them and that they should always be empowered with information to make the proper decisions for themselves. I don't really see many costs to the technology, except that patients may not be able to have a significant dialogue about their health with their provider.",cost,0.875,positive
343,"Cost - lack of security
Benefit - more access to data",access,0.4767,positive
345,"I'm not sure about third-party apps. However, it used to be difficult to obtain medical records. Some physicians wouldn't even give you copies of your lab results. They would just tell you it was in normal range. I appreciate being able to have access to my lab results and notes after a doctor visit because you might forget something.",third-party app,-0.3944,negative
346,Benefit is that it makes things easy. But the cost is my data may not be secured.,cost,0.0163,positive
347,The cost and benefits would benefit those who use it often and see multiple doctors.,cost,0.6808,positive
351,"I am happy with the cost/benefit of using my own patient portal at my doctor's office. I am unsure of the risks with third party apps. However, if it is truly secure the benefits are tremendous, especially when travelling or seeing a new medical professional.",cost,0.8807,positive
353,Patient portal allows quick access to rudimentary personal health information.  I see no benefit to apps that store personal health information.,access,0.2023,positive
355,The major concern probably will be security and keeping medical records private.  Benefits will be convenience and fast access.,access,0.6124,positive
357,Benefits are dynamically capturing health data so that I could absorb and learn at will.  The costs could be to privacy.,cost,0.6249,positive
358,Makes acessing information much easier for me as a patient but also at risk from data breaches.,risk,-0.1901,negative
359,"It’s ease of use, and being able to ask questions to a doctor when they aren’t emergent is a bonus, especially during the pandemic. If makes receiving information and test results a faster process. A cost would be that you aren’t getting the information in person so you would have to wait to ask questions and get answers and of course the security risks ",cost,0.743,positive
360,"It sounds as if CommonHealth is a step up from third-party apps, and would make a very helpful addition to the patient portals I already use.  If it proves secure and is highly rated, I could really see myself using it.",third-party app,0.6697,positive
361,I don't see any costs or benefits of them.,cost,0.3818,positive
362,Making things simple hopefully cuts back on costs,cost,0.128,positive
363,Patient portal allows me to access records and information. Apple Health Records would help first responders access my healthcare needs in case of an emergency. ,access,0.0258,positive
366,"Benefit:  Could be beneficial if all information was easily accessible by patients and healthcare providers, and in one place.

Costs:  As it is now, by different providers don't have access to all my medical information.  For example, I went to the ER & was told I needed to have immediate surgery, but my insurance needed a referral from my primary care physician first.  My PCP didn't have access to my ER records so knew nothing about my condition.",access,0.8381,positive
367,"The costs would be a potential loss of privacy and the information getting in the wrong hands. The benefits would be convenience and a chance to help others through research, etc.",cost,0.2263,positive
369,"Costs: way too much information readily available

benefit: access my medical record from comfort of home",access,0.6705,positive
370,In the world of meta data and data science there is probably a public good for having a better understanding of health trends as well as just ease of access. It comes at the expense of right to privacy and the better security of important medical information and may breach patient doctor confidentiality.,privacy,0.9382,positive
371,"I think sharing information can help in that the same data is available for multiple providers, but having insurance and other parties interested in hurting you / helping themselves is obviously a huge risk.",risk,0.8555,positive
372,I think it will cost money for most of the apps but not all. Benefits will probably be different on each app.,cost,-0.4168,negative
373,"My patient portal is controlled by people I trust. Apple I do not trust, and the others I am unsure of.",trust,0.6808,positive
375,"The patient portal is free, and gives me all the info I need with no effort on my part.  Apple Health, Common Health, and Third-party all require effort, may cost money, and may pose increased security risk.",cost,0.5423,positive
378,The biggest cost is privacy loss when all these apps have access. A benefit would ease of use with different doctors and healthcare facilities.,cost,0.4939,positive
379,Patient portal has little cost and allows for greater doctor-patient communication. Apple Health Records also for better centralization of this data but it is out of the hands of just your doctor. Third-party apps can allow for greater benefits than a patient portal and can help scientific research but can also lead to inappropriate use of data and a violation of privacy. ,cost,0.8735,positive
381,"Benefits would primarily be convenience, and costs would primarily be security",cost,0.6124,positive
382,a direct doctor/patient portal has direct benefits to myself and my doctor. I do not use any Apple products and have zero trust in giving third party apps any of my personal medical data.,benefits,0.875,positive
383,It benefits a person because there medical records are easily available.,benefits,0.6124,positive
384,There is no cost but the benefit's surround communication and awareness. Instant access to records and information is invaluable,cost,-0.1531,negative
386,Ease if use is good but I have privacy concerns,privacy,0.4019,positive
387,It’s the third party apps that we don’t know how trustworthy the are. I like the ones I already have. ,trust,0.8316,positive
388,The cost is allowing access to private health information. The benefit is ease of access to your own medical records and ease of communication with health professionals.,cost,0.7906,positive
389,It all goes back to the risk of having your device stolen or lost. Now all this private information is out there and could get into the wrong hands. And as far as any common health apps my medical information is nobodies business but my own. ,risk,-0.6542,negative
390,"The main benefit, to me, is to have access to all of my records. That is something that has been difficult to attain, or attain easily, in the past.",access,0.4404,positive
391,I could see the benefit of having easy access to your medical information for yourself as well as new or current medical providers. It also provides a lot of important information such as allergies medication etc. and to have easy access to those things is a good thing,access,0.9274,positive
392,"i am not totally sure what you are asking, but I think that the cost to me should be free to use these types of portals or applications. I dont know the model of who pays but perhaps the insurance companies. ",cost,0.5941,positive
393,"I like the benefit and ease of accessing my records directly through my provider. I feel the more outside apps that have access, the more likely of personal info being hacked. ",access,0.6486,positive
394,"I see them all as negatives because they are apps for mobile phones rather than data that can be securely accessed on a desktop.  The only possible benefit that I can see from them is if you are going to a new provider and want to pull up test records that you either forgot to bring or didn't realize the new provider would want to see.  I think it is best though to keep this type of data only available via a secure desktop connection on a computer with strong protection and have two factor authentication on the account. Then if you need the records for a new provider (which you shouldn't as your original doctor should be able to send the data over electronically), you can just print it out.  This applies to all of the types listed - they should be computer access only.",access,0.9317,positive
395,I see a lot of benefits of a common health portal. All your records can be accessed in one location. It makes it very easy as a patient to get access in one place. I also presume the costs could be low for such an app and hence benefits a lot.,cost,0.7425,positive
396,Unsure of costs. I should never have to pay for for a portal or app if directly through my healthcare provider. Benefits is mostly convenience and transparency.,cost,0.2254,positive
397,"benefits would not outweigh the cost for me, mine have no costs",cost,0.1027,positive
